event,date_time,latitude,longitude,seals_number,census_strip_width_m,ice_cov_min_percent,ice_cov_max_percent,flo,ground_vis_number,terrain,comment,basisOfRecord
EMAGE-APIS-II/3,1998-01-03T11:39:58Z,-70.598,-9.421,1,50,60,80,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:40:04Z,-70.595,-9.427,1,50,60,80,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:40:08Z,-70.593,-9.43,1,50,60,80,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:40:47Z,-70.572,-9.465,1,50,60,80,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:45:26Z,-70.424,-9.711,1,50,40,60,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:47:04Z,-70.37,-9.796,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:47:46Z,-70.348,-9.832,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:47:52Z,-70.345,-9.839,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:48:38Z,-70.32,-9.88,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:58:25Z,-69.992,-10.398,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:58:26Z,-69.992,-10.398,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T11:59:57Z,-69.941,-10.484,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T12:02:07Z,-69.868,-10.601,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
EMAGE-APIS-II/3,1998-01-03T12:02:55Z,-69.841,-10.642,1,50,50,70,outbound,1,sea ice,Lobodon carcinophaga,HUMAN_OBSERVATION
