transect_code,dt_trans_start_gmt,dt_trans_end_gmt,lat_trans_start,lon_trans_start,lat_trans_end,lon_trans_end,area_name,transect_id,transect_length_km,altitude_m,duration_trans_hms,segment_id,segment_label,lat_seg_start,lon_seg_start,lat_seg_end,lon_seg_end,segment_length_km,dt_seg_start_gmt,dt_seg_end_gmt,duration_seg_hms,observer,side_helicopter,sampling_method,species,number_ind,distance_interval,distance_helip_m,comment_inconsistencies,comment_individual,comment_dup,time_obs,lat_obs,lon_obs,floe_class,segment_sic,segment_si_surface,air_temp_trans_C,wind_speed_trans_ms,vis_trans_m,comment,basisOfRecord
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,1,SEAFOS_20140104_1_1,-75.243584,-28.811886,-75.192329,-28.800062,5.705,2014-01-04T13:21:22Z,2014-01-04T13:24:20Z,00:02:58,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,1,Bin 1 (35.2 m - 51.16 m),43.18,NA,1,NA,13:21:15,-75.245956,-28.811598,Medium floes,Medium pack ice,Smooth,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,1,SEAFOS_20140104_1_1,-75.243584,-28.811886,-75.192329,-28.800062,5.705,2014-01-04T13:21:22Z,2014-01-04T13:24:20Z,00:02:58,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,1,Bin 3 (72.66 m - 105.6 m),89.13,NA,3,NA,13:23:46,-75.20079,-28.802385,Medium floes,Medium pack ice,Smooth,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,4,SEAFOS_20140104_1_4,-75.086647,-28.781538,-75.034103,-28.774984,5.842,2014-01-04T13:30:21Z,2014-01-04T13:33:21Z,00:03:00,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,2,Bin 5 (167.5 m - 345.73 m),256.615,NA,9,NA,13:32:38,-75.046295,-28.77574,Large floes,Close pack ice,Smooth,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,5,SEAFOS_20140104_1_5,-75.034103,-28.774984,-74.980385,-28.764088,5.977,2014-01-04T13:33:21Z,2014-01-04T13:36:21Z,00:03:00,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,2,Bin 5 (167.5 m - 345.73 m),256.615,NA,10,NA,13:35:40,-74.993042,-28.766869,Medium floes,Medium pack ice,Smooth,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,9,SEAFOS_20140104_1_9,-74.825462,-28.726717,-74.775696,-28.715466,5.54,2014-01-04T13:45:30Z,2014-01-04T13:48:20Z,00:02:50,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,2,Bin 3 (72.66 m - 105.6 m),89.13,NA,16,NA,13:46:08,-74.816475,-28.724508,Medium floes,Open pack Ice,Rough,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140104_1,2014-01-04T13:21:13Z,2014-01-04T14:11:29Z,-75.245956,-28.811598,-74.369644,-28.650448,Filchner Outflow,1,97.489,60,00:50:16,10,SEAFOS_20140104_1_10,-74.775696,-28.715466,-74.721619,-28.716381,6.009,2014-01-04T13:48:20Z,2014-01-04T13:51:20Z,00:03:00,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,1,Bin 5 (167.5 m - 345.73 m),256.615,NA,19,NA,13:50:15,-74.74102,-28.714415,Large floes,Close pack ice,Rough,-3.1,4.4,69310,NA,HUMAN_OBSERVATION
SEAFOS_20140122_8,2014-01-22T13:55:30Z,2014-01-22T14:19:40Z,-74.354003,-29.32711,-74.784569,-29.550745,Filchner Outflow,8,48.299,60,00:24:10,1,SEAFOS_20140122_8_1,-74.354003,-29.32711,-74.413358,-29.346287,6.62,2014-01-22T13:55:30Z,2014-01-22T13:58:38Z,00:03:08,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,1,Bin 3 (72.66 m - 105.6 m),89.13,NA,43,NA,13:56:55,-74.379616,-29.327831,Small floes,Medium pack ice,Smooth,-4,6,71672,NA,HUMAN_OBSERVATION
SEAFOS_20140122_9,2014-01-22T14:28:18Z,2014-01-22T14:55:20Z,-74.806574,-28.7345,-74.349787,-28.663539,Filchner Outflow,9,50.801,60,00:27:02,7,SEAFOS_20140122_9_7,-74.50412,-28.69343,-74.453322,-28.680334,5.658,2014-01-22T14:46:18Z,2014-01-22T14:49:17Z,00:02:59,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,2,Bin 2 (51.16 m - 72.66 m),61.91,NA,62,NA,14:47:21,-74.48745,-28.687593,Medium floes,Open pack ice,Smooth,-4,6,71672,NA,HUMAN_OBSERVATION
SEAFOS_20140125_10,2014-01-25T13:49:15Z,2014-01-25T14:14:14Z,-74.773987,-29.5488,-75.217537,-29.770212,Filchner Outflow,10,49.697,60,00:24:59,1,SEAFOS_20140125_10_1,-74.773783,-29.548867,-74.836952,-29.585535,7.1,2014-01-25T13:49:15Z,2014-01-25T13:52:23Z,00:03:08,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,2,Bin 4 (105.6 m - 167.5 m),136.55,NA,70,NA,13:50:18,-74.796219,-29.55949,Medium floes,Medium pack ice,Smooth,-2.3,4.5,62746,NA,HUMAN_OBSERVATION
SEAFOS_20140125_10,2014-01-25T13:49:15Z,2014-01-25T14:14:14Z,-74.773987,-29.5488,-75.217537,-29.770212,Filchner Outflow,10,49.697,60,00:24:59,1,SEAFOS_20140125_10_1,-74.773783,-29.548867,-74.836952,-29.585535,7.1,2014-01-25T13:49:15Z,2014-01-25T13:52:23Z,00:03:08,Christiaan Oosthuizen,left,MRDS(io),Lobodon carcinophaga,1,Bin 3 (72.66 m - 105.6 m),89.13,NA,71,NA,13:51:54,-74.828354,-29.578966,Medium floes,Medium pack ice,Smooth,-2.3,4.5,62746,NA,HUMAN_OBSERVATION
