census_day,census_transect,census_segment,census_code,lat_seg_start,lon_seg_start,lat_seg_end,lon_seg_end,dt_seg_start_gmt,dt_seg_end_gmt,time_seg_start_gmt,time_seg_end_gmt,seg_length_km,altitude_m,speed_km_h,bin_width,cum_seg_length_km,side_helicopter,number_ind_tot,number_ind_bin_1,number_ind_bin_2,number_ind_bin_3,number_ind_bin_4,number_ind_bin_5,sic_per,ice_floe_per,brash_ice_per,cake_ice_per,small_floe_10-100m_per,med_floe_100-500m_per,large_floe_500m_per,air_temp_trans_C,wind_speed_trans_ms,visibility,glare,contrast,heli_type,lon_seg_mid...38,lat_seg_mid...39,lon_seg_mid...40,lat_seg_mid...41,basisOfRecord
2,1,1,2_1_1,-70.576,-8.149333,-70.382667,-8.168333,1998-01-24T11:57:00Z,1998-01-24T12:00:30Z,11:57:00,NA,NA,91.44,148.16,465.78,7.19,Left,0,0,0,0,0,0,70,70,0,0,0,0,0,-3.3,14.4,excellent,no,high,Bell Long Ranger II,-8.158878175648084,-70.47933426708082,-8.158878175648084,-70.47933426708082,HUMAN_OBSERVATION
2,1,2,2_1_2,-70.576,-8.149333,-70.382667,-8.168333,1998-01-24T12:00:30Z,1998-01-24T12:04:00Z,NA,NA,NA,91.44,148.16,465.78,7.19,Left,4,1,1,0,2,0,50,50,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.158878175648084,-70.47933426708082,-8.158878175648084,-70.47933426708082,HUMAN_OBSERVATION
2,1,3,2_1_3,-70.576,-8.149333,-70.382667,-8.168333,1998-01-24T12:04:00Z,1998-01-24T12:08:00Z,NA,12:08:00,21.49,91.44,148.16,465.78,7.19,Left,4,0,0,4,0,0,20,20,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.158878175648084,-70.47933426708082,-8.158878175648084,-70.47933426708082,HUMAN_OBSERVATION
2,2,1,2_2_1,-70.382667,-8.168333,-70.385333,-8.8065,1998-01-24T12:08:00Z,1998-01-24T12:10:30Z,12:08:00,NA,NA,91.44,148.16,465.78,7.98,Left,1,0,0,1,0,0,10,10,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.487395686240983,-70.38428118364158,-8.487395686240983,-70.38428118364158,HUMAN_OBSERVATION
2,2,2,2_2_2,-70.382667,-8.168333,-70.385333,-8.8065,1998-01-24T12:10:30Z,1998-01-24T12:12:00Z,NA,NA,NA,91.44,148.16,465.78,7.98,Left,10,3,6,1,0,0,18,18,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.487395686240983,-70.38428118364158,-8.487395686240983,-70.38428118364158,HUMAN_OBSERVATION
2,2,3,2_2_3,-70.382667,-8.168333,-70.385333,-8.8065,1998-01-24T12:12:00Z,1998-01-24T12:15:00Z,NA,12:15:00,23.81,91.44,148.16,465.78,7.98,Left,1,0,1,0,0,0,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.487395686240983,-70.38428118364158,-8.487395686240983,-70.38428118364158,HUMAN_OBSERVATION
2,3,1,2_3_1,-70.385333,-8.8065,-70.526,-8.6875,1998-01-24T12:18:00Z,1998-01-24T12:21:00Z,12:18:00,NA,NA,91.44,148.16,465.78,8.17,Left,2,0,0,1,1,0,18,18,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.747205595621557,-70.45567652202402,-8.747205595621557,-70.45567652202402,HUMAN_OBSERVATION
2,3,2,2_3_2,-70.385333,-8.8065,-70.526,-8.6875,1998-01-24T12:21:00Z,1998-01-24T12:25:00Z,NA,12:25:00,16.24,91.44,148.16,465.78,8.17,Left,2,0,0,0,1,1,18,18,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.747205595621557,-70.45567652202402,-8.747205595621557,-70.45567652202402,HUMAN_OBSERVATION
2,4,1,2_4_1,-70.526,-8.6875,-70.527833,-8.855,1998-01-24T12:31:00Z,1998-01-24T12:32:30Z,12:31:00,NA,NA,91.44,148.16,465.78,7.41,Left,5,0,0,1,0,4,30,30,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.771246214093582,-70.5269357522107,-8.771246214093582,-70.5269357522107,HUMAN_OBSERVATION
2,4,2,2_4_2,-70.526,-8.6875,-70.527833,-8.855,1998-01-24T12:32:30Z,1998-01-24T12:35:00Z,NA,NA,NA,91.44,148.16,465.78,7.41,Left,7,0,2,1,0,4,21,21,0,0,0,0,0,NA,NA,NA,NA,NA,Bell Long Ranger II,-8.771246214093582,-70.5269357522107,-8.771246214093582,-70.5269357522107,HUMAN_OBSERVATION
