date,year,month,season_year,life_stage,decade,sector,zone,presence,longitude,latitude
1999-12,1999,12,summer,weaning,1990,East Indian,Antarctic,0,85.55000000000001,-64.15
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,75.45,-66.15
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,142.85000000000002,-64.55
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,109.25,-64.75
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,102.45,-64.55
1999-12,1999,12,summer,weaning,1990,East Indian,Antarctic,0,79.15,-64.95
1987-11,1987,11,autumn,weaning,1980,Central Indian,Antarctic,0,76.25,-64.95
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,76.15,-64.15
1983-12,1983,12,summer,weaning,1980,Central Indian,Antarctic,0,120.95,-64.95
1997-12,1997,12,summer,weaning,1990,Central Indian,Antarctic,0,107.55000000000001,-64.55
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,127.35000000000001,-64.45
1987-11,1987,11,autumn,weaning,1980,Central Indian,Antarctic,0,126.05000000000001,-64.55
2000-11,2000,11,autumn,weaning,2000,Central Indian,Antarctic,0,121.15,-64.45
1999-12,1999,12,summer,weaning,1990,Central Indian,Subantarctic,0,104.05,-63.05
1999-12,1999,12,summer,weaning,1990,East Indian,Antarctic,0,75.55000000000001,-66.35
1999-12,1999,12,summer,weaning,1990,East Indian,Antarctic,0,129.75,-64.15
2000-11,2000,11,autumn,weaning,2000,Central Indian,Antarctic,0,79.05000000000001,-64.05
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,78.65,-65.75
1990-12,1990,12,summer,weaning,1990,Central Indian,Subantarctic,0,101.65,-64.25
1999-12,1999,12,summer,weaning,1990,East Indian,Antarctic,0,80.75,-63.150000000000006
1999-12,1999,12,summer,weaning,1990,Central Indian,Antarctic,0,119.15,-64.05
1986-11,1986,11,autumn,weaning,1980,Central Indian,Subantarctic,0,72.45,-67.15
