gbifID,basisOfRecord,occurrenceID,individualCount,eventDate,eventTime,year,month,day,samplingProtocol,decimalLatitude,decimalLongitude,datasetKey
3119313927,HUMAN_OBSERVATION,B121_01161,1,2019-03-09T00:00:00Z,NA,2019,3,9,Top predator survey,-64.9028,-62.8643,b635be2e-76ea-4600-8f83-549601653c0a
3119313903,HUMAN_OBSERVATION,B121_01186,10,2019-03-13T00:00:00Z,18:00-04/18:30-04,2019,3,13,Top predator survey,-65.1413,-64.1443,b635be2e-76ea-4600-8f83-549601653c0a
3119313891,HUMAN_OBSERVATION,B121_01199,6,2019-03-15T00:00:00Z,14:30-04/15:00-04,2019,3,15,Top predator survey,-65.1402,-64.0595,b635be2e-76ea-4600-8f83-549601653c0a
3119313837,HUMAN_OBSERVATION,B121_01207,6,2019-03-15T00:00:00Z,15:00-04/15:30-04,2019,3,15,Top predator survey,-65.0977,-63.9802,b635be2e-76ea-4600-8f83-549601653c0a
3119313043,HUMAN_OBSERVATION,B121_00056,65,2019-03-14T00:00:00Z,09:00-04/18:00-04,2019,3,14,Top predator survey,-65.3383,-64.13,b635be2e-76ea-4600-8f83-549601653c0a
3119312767,HUMAN_OBSERVATION,B121_00980,3,2019-03-04T00:00:00Z,NA,2019,3,4,Top predator survey,-64.8428,-62.5387,b635be2e-76ea-4600-8f83-549601653c0a
3119312713,HUMAN_OBSERVATION,B121_00541,10,2019-03-12T00:00:00Z,10:00-04/18:00-04,2019,3,12,Top predator survey,-65.1011,-64.0832,b635be2e-76ea-4600-8f83-549601653c0a
3119312706,HUMAN_OBSERVATION,B121_00551,21,2019-03-11T00:00:00Z,17:30-04/18:00-04,2019,3,11,Top predator survey,-65.1145,-64.0178,b635be2e-76ea-4600-8f83-549601653c0a
3119312678,HUMAN_OBSERVATION,B121_01419,200,2019-02-27T00:00:00Z,NA,2019,2,27,Top predator survey,-62.3207,-65.9229,b635be2e-76ea-4600-8f83-549601653c0a
3119312510,HUMAN_OBSERVATION,B121_01335,2,2019-03-03T00:00:00Z,16:30-04/17:00-04,2019,3,3,Top predator survey,-64.5015,-62.8083,b635be2e-76ea-4600-8f83-549601653c0a
3119312426,HUMAN_OBSERVATION,B121_01374,49,2019-03-11T00:00:00Z,16:30-04/17:00-04,2019,3,11,Top predator survey,-65.0248,-63.8588,b635be2e-76ea-4600-8f83-549601653c0a
3119312411,HUMAN_OBSERVATION,B121_01384,32,2019-03-11T00:00:00Z,17:00-04/17:30-04,2019,3,11,Top predator survey,-65.068,-63.9308,b635be2e-76ea-4600-8f83-549601653c0a
