event,date_time,latitude,longitude,l_carcinophaga_number,basisOfRecord
DRE1998_cra_s_f_09,1998-02-02T13:45:00Z,-72.916,-18.857,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-02T15:29:00Z,-72.834,-19.098,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-02T18:50:00Z,-72.853,-19.021,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-02T19:22:00Z,-72.87,-19.089,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T00:22:00Z,-72.956,-18.799,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T02:00:00Z,-72.867,-19.086,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T03:13:00Z,-72.854,-19.095,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T03:39:00Z,-72.867,-19.089,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T04:55:00Z,-72.873,-19.052,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-03T07:01:00Z,-72.874,-19.087,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-04T01:21:00Z,-72.792,-19.314,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-04T01:40:00Z,-72.865,-19.087,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-04T18:33:00Z,-72.851,-19.059,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-04T20:08:00Z,-72.817,-19.438,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-04T20:22:00Z,-72.842,-19.509,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-06T16:10:00Z,-71.651,-17.018,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-06T18:13:00Z,-71.646,-16.989,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-07T20:53:00Z,-71.176,-14.983,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-09T08:09:00Z,-70.656,-12.664,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-09T12:27:00Z,-70.625,-12.581,1,MACHINE_OBSERVATION
DRE1998_cra_s_f_09,1998-02-10T16:20:00Z,-70.373,-10.933,1,MACHINE_OBSERVATION
