scientific_name,longitude,latitude
Lobodon carcinophaga,-9.421,-70.598
Lobodon carcinophaga,-9.427,-70.595
Lobodon carcinophaga,-9.43,-70.593
Lobodon carcinophaga,-9.465,-70.572
Lobodon carcinophaga,-9.711,-70.424
Lobodon carcinophaga,-9.796,-70.37
Lobodon carcinophaga,-9.832,-70.348
Lobodon carcinophaga,-9.839,-70.345
Lobodon carcinophaga,-9.88,-70.32
Lobodon carcinophaga,-10.398,-69.992
Lobodon carcinophaga,-10.398,-69.992
Lobodon carcinophaga,-10.484,-69.941
Lobodon carcinophaga,-10.601,-69.868
Lobodon carcinophaga,-10.642,-69.841
Lobodon carcinophaga,-10.662,-69.827
Lobodon carcinophaga,-10.721,-69.788
Lobodon carcinophaga,-12.009,-69.05
Lobodon carcinophaga,-11.292,-69.548
Lobodon carcinophaga,-11.168,-69.632
Lobodon carcinophaga,-11.112,-69.671
Lobodon carcinophaga,-10.242,-70.242
Lobodon carcinophaga,-10.033,-70.38
Lobodon carcinophaga,-9.969,-70.418
Lobodon carcinophaga,-9.808,-70.522
Lobodon carcinophaga,-9.779,-70.54
Lobodon carcinophaga,-12.415,-71.125
Lobodon carcinophaga,-13.179,-70.757
Lobodon carcinophaga,-13.346,-70.637
Lobodon carcinophaga,-13.349,-70.636
Lobodon carcinophaga,-14.094,-70.102
Lobodon carcinophaga,-14.253,-69.986
Lobodon carcinophaga,-14.377,-70.058
Lobodon carcinophaga,-14.291,-70.122
Lobodon carcinophaga,-13.641,-70.598
Lobodon carcinophaga,-13.422,-70.747
Lobodon carcinophaga,-13.292,-70.84
Lobodon carcinophaga,-13.112,-70.967
Lobodon carcinophaga,-12.97,-71.065
Lobodon carcinophaga,-12.711,-71.236
Lobodon carcinophaga,-12.655,-71.271
Lobodon carcinophaga,-12.439,-71.409
Lobodon carcinophaga,-12.422,-71.421
Lobodon carcinophaga,-9.367,-70.632
Lobodon carcinophaga,-9.375,-70.627
Lobodon carcinophaga,-10.842,-69.708
Lobodon carcinophaga,-12.856,-68.243
Lobodon carcinophaga,-12.856,-68.242
Lobodon carcinophaga,-12.358,-68.791
Lobodon carcinophaga,-10.61,-70.005
Lobodon carcinophaga,-9.555,-70.676
Lobodon carcinophaga,-9.468,-70.727
Lobodon carcinophaga,-9.695,-70.738
Lobodon carcinophaga,-9.817,-70.67
Lobodon carcinophaga,-10.869,-69.996
Lobodon carcinophaga,-9.889,-70.909
Lobodon carcinophaga,-10.439,-70.583
Lobodon carcinophaga,-11.499,-69.894
Lobodon carcinophaga,-8.593,-70.537
Lobodon carcinophaga,-8.595,-70.537
Lobodon carcinophaga,-9.637,-70.709
Lobodon carcinophaga,-10.87,-70.982
Lobodon carcinophaga,-12.212,-70.096
Lobodon carcinophaga,-13.844,-68.878
Lobodon carcinophaga,-13.714,-69.162
Lobodon carcinophaga,-13.419,-69.386
Lobodon carcinophaga,-12.604,-69.99
Lobodon carcinophaga,-11.101,-71.009
Lobodon carcinophaga,-11.457,-71.238
Lobodon carcinophaga,-11.777,-71.037
Lobodon carcinophaga,-12.453,-70.595
Lobodon carcinophaga,-13.352,-69.961
Lobodon carcinophaga,-13.543,-69.812
Lobodon carcinophaga,-13.567,-69.793
Lobodon carcinophaga,-14.23,-69.477
Lobodon carcinophaga,-13.748,-69.839
Lobodon carcinophaga,-13.724,-69.857
Lobodon carcinophaga,-13.51,-70.02
Lobodon carcinophaga,-12.605,-70.657
Lobodon carcinophaga,-12.282,-70.868
Lobodon carcinophaga,-11.972,-71.079
Lobodon carcinophaga,-11.632,-71.289
Lobodon carcinophaga,-11.888,-71.182
Lobodon carcinophaga,-12.204,-71.082
Lobodon carcinophaga,-12.514,-70.87
Lobodon carcinophaga,-13.033,-70.523
Lobodon carcinophaga,-13.325,-70.314
Lobodon carcinophaga,-13.598,-70.119
Lobodon carcinophaga,-14.33,-69.571
Lobodon carcinophaga,-14.43,-69.678
Lobodon carcinophaga,-13.851,-70.112
Lobodon carcinophaga,-13.725,-70.207
Lobodon carcinophaga,-13.483,-70.382
Lobodon carcinophaga,-13.272,-70.524
Lobodon carcinophaga,-12.782,-70.858
Lobodon carcinophaga,-12.566,-71.014
Lobodon carcinophaga,-12.116,-71.298
Lobodon carcinophaga,-12.132,-71.168
Lobodon carcinophaga,-12.461,-71.118
Lobodon carcinophaga,-12.703,-71.079
Lobodon carcinophaga,-13.357,-70.631
Lobodon carcinophaga,-13.416,-70.588
Lobodon carcinophaga,-14.087,-70.108
