date,year,month,yt_ocean,xt_ocean,yu_ocean,xu_ocean,season_year,life_stage,decade,sector,zone,presence,bottom_slope_deg,dist_shelf_km,dist_coast_km,depth_m,freez_pot_Wm2,SIT_m,SIC,SST_degC,bottom_temp_degC,SSS_PSU,bottom_sal_PSU,vel_lat_surf_msec,vel_lat_bottom_msec,vel_lon_surf_msec,vel_lon_bottom_msec,lt_pack_ice,dist_ice_edge_lon
Dec-99,1999,12,-69.239,73.85,-69.26,73.9,summer,weaning,1990,East Indian,Antarctic,0,,504.5819534,140.2555581,,,,,,0,,0,,0,,0,0,999.9866634
Nov-87,1987,11,-69.155,71.65,-69.134,71.7,autumn,weaning,1980,Central Indian,Antarctic,0,,504.3021446,156.2050304,,,,,,0,,0,,0,,0,0,968.626171
Nov-87,1987,11,-69.155,79.05,-69.134,79.1,autumn,weaning,1980,Central Indian,Antarctic,0,,506.0179411,204.3100348,,,,,,0,,0,,0,,0,0,1017.552702
Dec-97,1997,12,-69.07,74.55,-69.049,74.6,summer,weaning,1990,Central Indian,Antarctic,0,89.71498108,485.1256454,121.4683505,797.05,-12663.353,0.27261078,0.36288565,-0.28790283,-1.865905762,33.698875,34.60936737,0.060809452,0.026039399,0.08141791,0.035614997,0.654761905,1011.831253
Dec-99,1999,12,-69.07,75.35,-69.049,75.4,summer,weaning,1990,East Indian,Antarctic,0,89.70202637,485.8259672,122.0803846,729.212,-2086.4097,1.0585489,0.8000209,-1.5830994,-1.868743896,33.992184,34.59945297,0.001075963,0.013323116,-0.001893834,0.025681451,0.630952381,1012.421868
Dec-97,1997,12,-69.07,77.25,-69.049,77.3,summer,weaning,1990,Central Indian,Antarctic,0,89.98560333,490.5533663,150.8968069,620.38336,-7640.196,0.07325255,0.032075945,-0.933197,-1.795806885,34.406025,34.58282471,-0.07781828,0.00359143,-0.10147345,-0.021685606,0.5,937.5407402
Dec-99,1999,12,-68.944,74.05,-68.965,74.1,summer,weaning,1990,Central Indian,Antarctic,0,89.67777252,471.3577634,107.6877621,680.45,-2321.2988,1.215564,0.7487879,-1.5285339,-1.868621826,33.50831,34.59654617,0.032183483,-0.013669391,-0.052924555,-0.000627056,0.607142857,974.4440464
Nov-96,1996,11,-68.944,76.65,-68.965,76.7,autumn,weaning,1990,Central Indian,Antarctic,0,89.96389771,476.4629605,125.6748834,560.9667,-2095.32,0.083405286,0.403975,-1.6076965,-1.863586426,34.469967,34.53204346,-0.07719794,-0.01276756,-0.054565027,-0.007163575,0.55952381,945.5734819
Dec-99,1999,12,-68.944,77.55,-68.965,77.6,summer,weaning,1990,Central Indian,Antarctic,0,89.98446655,476.6426684,148.120592,747.7167,-5491.0186,0.08264251,0.18198718,-1.1971741,-1.864837646,34.472775,34.60060883,-0.13371491,-0.016551504,-0.032771274,-0.001396612,0.511904762,1039.993855
Dec-97,1997,12,-68.648,75.55,-68.669,75.6,summer,weaning,1990,Central Indian,Antarctic,0,89.72033691,439.5611426,77.28070828,675.1525,-10452.305,0.08388801,0.25699028,-0.5905762,-1.865875244,34.359707,34.59599686,0.002671758,0.001301266,-0.051016856,-0.003620301,0.630952381,950.4778954
Dec-85,1985,12,-68.564,73.15,-68.542,73.2,summer,weaning,1980,Central Indian,Antarctic,0,89.82606506,432.5547781,69.63379046,725.63336,-5157.764,0.36422086,0.5151034,-1.1793823,-1.862060547,33.397163,34.55220413,0.037378665,0.007419728,-0.14190845,-0.004393989,0.547619048,890.8193086
Dec-99,1999,12,-68.564,76.05,-68.542,76.1,summer,weaning,1990,East Indian,Antarctic,0,89.86385345,432.5547781,77.02757809,636.18335,-1273.7817,1.1576806,0.83033603,-1.7040405,-1.867370605,34.41177,34.57801437,-0.030888168,-0.004098453,-0.025315266,-0.01610296,0.630952381,978.3425561
Dec-97,1997,12,-68.437,75.45,-68.458,75.5,summer,weaning,1990,Central Indian,Antarctic,0,89.76860809,415.8198981,53.62175463,585.73334,-9111.588,0.19060908,0.3397336,-0.74935913,-1.864379883,34.3028,34.57801819,-0.004512562,0.012641796,-0.049219403,-0.019388,0.630952381,937.5935966
Dec-99,1999,12,-68.437,78.05,-68.458,78.1,summer,weaning,1990,East Indian,Antarctic,0,89.86830139,421.5813038,117.8113207,20.621948,-9122.403,0.060345463,0.16045062,-0.6567383,-0.724914551,34.28706,34.32533646,-0.12471209,-0.100334041,-0.07392235,-0.04692284,0.583333333,997.4231762
Dec-97,1997,12,-68.352,73.95,-68.331,74,summer,weaning,1990,Central Indian,Antarctic,0,89.78614807,405.8810063,41.8276633,646.5333,-4545.9927,0.42118186,0.50072914,-1.3003235,-1.864074707,34.26848,34.56143188,-0.012737113,0.001440858,-0.06005331,-0.011432017,0.619047619,936.2841958
Dec-99,1999,12,-68.352,74.15,-68.331,74.2,summer,weaning,1990,Central Indian,Antarctic,0,89.54518127,405.4964739,42.43656058,632.81665,-1363.407,0.8844947,0.78901505,-1.6878967,-1.865142822,34.313465,34.54948807,0.02433291,-0.003400586,-0.06367336,-0.01230911,0.642857143,919.0339893
